Gene ID		C1	C2	C	H1	H2	H
TcCLB.510433.10	182	293	237.5	507	509	508
TcCLB.511033.29	653	1008	830.5	1667	1716	1691.5
TcCLB.511511.5	719	863	791	1593	1539	1566
TcCLB.508355.230	194	209	201.5	365	332	348.5
TcCLB.508319.10	57	95	76	125	137	131
TcCLB.506587.44	353	450	401.5	659	696	677.5
TcCLB.511825.66	419	499	459	778	764	771
TcCLB.511635.80	1347	2070	1708.5	2641	2818	2729.5
TcCLB.506851.30	551	814	682.5	1029	1130	1079.5
TcCLB.508693.190	3620	5355	4487.5	6747	7111	6929
TcCLB.503583.100	760	1152	956	1367	1537	1452
TcCLB.507317.30	1971	2787	2379	3474	3531	3502.5
TcCLB.509607.20	497	807	652	901	995	948
TcCLB.506479.10	2638	3898	3268	3908	4117	4012.5
TcCLB.510329.20	710	974	842	930	951	940.5
TcCLB.511003.160	5781	8244	7012.5	1831	1650	1740.5
TcCLB.507967.20	1211	1669	1440	613	532	572.5
TcCLB.503411.30	347	460	403.5	187	148	167.5
TcCLB.509331.120	1192	1629	1410.5	661	577	619
TcCLB.511807.220	11625	15284	13454.5	6411	5734	6072.5
TcCLB.503837.10	2182	3109	2645.5	1276	1163	1219.5
TcCLB.508017.10	104	138	121	62	57	59.5
TcCLB.507023.70	1143	1572	1357.5	698	691	694.5
TcCLB.505071.80	2351	3092	2721.5	1471	1339	1405
TcCLB.509791.100	3016	4226	3621	1939	1909	1924
TcCLB.510329.150	3123	4260	3691.5	2071	1941	2006
TcCLB.508945.10	392	488	440	247	233	240
TcCLB.503555.50	776	933	854.5	478	475	476.5
TcCLB.508153.1074	1968	2620	2294	1280	1297	1288.5
TcCLB.507583.4	982	1288	1135	652	630	641
TcCLB.510691.70	602	792	697	392	401	396.5
TcCLB.509601.140	20957	28162	24559.5	14177	14033	14105
TcCLB.510799.70	1381	1880	1630.5	932	941	936.5
TcCLB.511277.100	916	1277	1096.5	616	650	633
TcCLB.511895.20	2048	2805	2426.5	1403	1400	1401.5
TcCLB.507949.250	11786	15453	13619.5	7979	7757	7868
TcCLB.509331.110	2150	3046	2598	1593	1410	1501.5
TcCLB.506319.60	1215	1631	1423	811	842	826.5
TcCLB.503839.10	2088	2697	2392.5	1419	1373	1396
TcCLB.511287.70	771	873	822	483	478	480.5
TcCLB.507911.50	1100	1468	1284	792	719	755.5
TcCLB.506999.60	2423	3269	2846	1722	1644	1683
TcCLB.509911.20	926	1158	1042	623	610	616.5
TcCLB.508999.40	1243	1622	1432.5	876	823	849.5
TcCLB.511513.14	412	620	516	314	298	306
TcCLB.508641.240	796	970	883	532	517	524.5
TcCLB.509331.74	1380	1883	1631.5	979	961	970
TcCLB.509429.280	1979	2647	2313	1389	1367	1378
TcCLB.511509.5	458	654	556	354	309	331.5
TcCLB.507787.130	2589	3344	2966.5	1815	1747	1781
TcCLB.510087.80	1852	2286	2069	1206	1281	1243.5
TcCLB.510131.30	2456	3388	2922	1752	1761	1756.5
TcCLB.509053.30	12431	16554	14492.5	8978	8533	8755.5
TcCLB.504243.49	1334	1782	1558	934	949	941.5
TcCLB.511673.9	402	445	423.5	271	242	256.5
TcCLB.508153.700	1463	1835	1649	1022	980	1001
TcCLB.507221.40	1073	1759	1416	906	815	860.5
TcCLB.507969.40	777	936	856.5	549	492	520.5
TcCLB.511261.71	893	1142	1017.5	652	585	618.5
TcCLB.509471.10	1470	1952	1711	1025	1060	1042.5
TcCLB.508741.220	2645	3599	3122	1966	1842	1904
TcCLB.510901.20	929	1405	1167	733	692	712.5
TcCLB.509471.30	864	1186	1025	666	586	626
TcCLB.511479.39	24000	31661	27830.5	17060	17009	17034.5
TcCLB.509339.10	951	1210	1080.5	704	621	662.5
TcCLB.503461.30	1057	1218	1137.5	752	645	698.5
TcCLB.503647.9	2715	3663	3189	1975	1945	1960
TcCLB.509331.80	1121	1571	1346	883	772	827.5
TcCLB.508879.40	1060	1271	1165.5	767	668	717.5
TcCLB.426897.10	997	1295	1146	706	708	707
TcCLB.508577.130	1354	1552	1453	954	839	896.5
